"CNTSTUID","ST188Q01HA","ST188Q02HA","ST188Q03HA","ST188Q06HA","ST188Q07HA","ST102Q02TA","ST102Q04TA","ST104Q03NA","ST152Q05IA","ST152Q08IA","ST100Q01TA","ST211Q01HA","ST211Q02HA","ST211Q03HA","ST213Q01HA","Sum"
41005622,2,3,2,3,3,2,2,2,2,3,3,3,3,3,3,11
41005626,2,2,2,3,3,4,4,1,3,3,4,4,4,4,3,5
41005651,3,3,2,2,3,2,2,2,2,2,2,3,2,2,3,8
41005691,3,4,2,2,2,2,4,1,4,3,4,4,3,4,4,18.83
41005692,3,4,3,4,3,4,4,3,3,4,4,3,3,3,3,20.33
41005713,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,14
41005757,3,3,2,3,3,4,2,3,3,3,3,3,3,3,4,15
41005786,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,0
41005808,4,4,4,4,4,3,3,3,2,2,3,3,3,3,3,9.5
41005887,3,3,3,3,3,2,2,2,3,3,2,2,2,3,3,2
41005902,3,4,3,3,3,2,4,2,3,2,3,2,2,3,3,24
41005958,3,3,2,3,3,2,3,1,2,1,3,2,2,2,3,13
41006017,3,3,2,3,3,3,3,1,2,3,3,3,2,3,3,7
41006109,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,10
41006160,3,2,2,3,3,4,3,3,3,2,3,3,3,3,4,13
41006205,2,3,3,3,3,4,4,3,3,4,3,3,4,4,3,5
41006245,3,4,4,4,4,2,2,2,3,2,2,3,3,3,3,11
41006246,2,3,2,3,3,4,4,2,2,2,4,3,3,3,3,20
41006344,3,3,3,3,3,4,4,4,3,3,4,3,3,3,3,14
41006381,3,3,2,3,3,4,4,3,3,3,4,3,3,3,3,6
41006406,3,3,3,3,3,4,4,3,3,3,3,3,3,3,2,6
41006431,3,3,2,2,3,3,3,2,2,2,3,2,2,3,3,16.5
41006509,3,3,2,3,4,4,4,4,4,4,4,3,4,3,4,23
41006519,2,3,2,2,2,1,3,1,2,1,2,2,3,3,3,8
41006803,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,18
41006827,2,4,2,3,3,3,3,4,3,3,4,3,3,3,3,10
41006867,3,4,2,3,4,4,4,2,2,2,4,3,4,4,4,15
